1+2,3
2+3,5
3+4,7
4+5,9
5+6,11
6+7,13
7+8,15
8+9,17
9+10,19
10+11,21
11+12,23
12+13,25
13+14,27
14+15,29
15+16,31
16+17,33
17+18,35
18+19,37
19+20,39
20+21,41
21+22,43
22+23,45
23+24,47
24+25,49
25+26,51
26+27,53
27+28,55
28+29,57
29+30,59
30+31,61
31+32,63
32+33,65
33+34,67
34+35,69
35+36,71
36+37,73
37+38,75
38+39,77
39+40,79
40+41,81
41+42,83
42+43,85
43+44,87
44+45,89
45+46,91
46+47,93
47+48,95
48+49,97
49+50,99
50+51,101
51+52,103
52+53,105
53+54,107
54+55,109
55+56,111
56+57,113
57+58,115
58+59,117
59+60,119
60+61,121
61+62,123
62+63,125
63+64,127
64+65,129
65+66,131
66+67,133
67+68,135
68+69,137
69+70,139
70+71,141
71+72,143
72+73,145
73+74,147
74+75,149
75+76,151
76+77,153
77+78,155
78+79,157
79+80,159
80+81,161
81+82,163
82+83,165
83+84,167
84+85,169
85+86,171
86+87,173
87+88,175
88+89,177
89+90,179
90+91,181
91+92,183
92+93,185
93+94,187
94+95,189
95+96,191
96+97,193
97+98,195
98+99,197
99+100,199
100+101,201
